channel_id,channel_title,video_id,start,end,title
UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,l2_xqVWhxpE,2020-01-19T14:00:06.412Z,2020-01-19T14:59:53.000Z,【#桐生ココ】ホロサーバー作ったよ！ARKでサバイバル生活！始めましょう！【#ココここ】
UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,mrr_Sc9CxWs,2020-01-25T07:00:05.972Z,2020-01-25T09:50:02.000Z,【#桐生ココ】誰か来るかな？ARKサーバー生活！恐竜時代を生き残れ！【#ココここ】
UC1DCedRgGHBdm81E1llLhOQ,Pekora Ch. 兎田ぺこら,JzI3WaR0Pnw,2020-01-26T13:05:11.378Z,2020-01-26T14:05:46.000Z,【ARK】最強の恐竜使いうさぎがホロ鯖に初上陸ぺこ！【ホロライブ/兎田ぺこら】
UC1DCedRgGHBdm81E1llLhOQ,Pekora Ch. 兎田ぺこら,quMgF5nuIDk,2020-01-28T12:01:07.660Z,2020-01-28T13:41:45.000Z,【ARK】恐竜の世界をドードー隊で天下統一するぺこ！【ホロライブ/兎田ぺこら】
UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,UrWeq5Ie0I0,2020-01-28T13:00:02.905Z,2020-01-28T15:02:29.000Z,【#桐生ココ】ARKの世界で楽しいサバイバル！ひつじよこれが自然界だ【#角巻わため】
UCqm3BQLlJfvkTsX_hvm0UmA,Watame Ch. 角巻わため,9F-EiTC1y1s,2020-01-28T13:00:07.707Z,2020-01-28T15:02:25.000Z,【ARK】初めてのARKでドドド同棲？！【桐生ココ＆角巻わため/ホロライブ４期生】
UCXTpFs_3PqI41qX2d9tL2Rw,Shion Ch. 紫咲シオン,KfZhXF_6HiY,2020-01-29T11:02:12.626Z,2020-01-29T12:55:10.000Z,【ARK】初めての恐竜の世界！！ホロ鯖に参上！！！【ホロライブ/紫咲シオン】
UC-hM6YJuNYVAmUWxeIr9FeA,Miko Ch. さくらみこ,cn3CRrzeL7s,2020-01-29T13:02:32.675Z,2020-01-29T15:17:41.000Z,【Ark】初Arkでサバイバル生活するにぇ！！！！！【ホロライブ/さくらみこ】
UCFTLzh12_nrtzqBPsTCqenA,アキロゼCh。Vtuber/ホロライブ所属,P6KmSxx1S9A,2020-01-29T13:59:14.148Z,2020-01-29T16:09:32.000Z,初めてのARK！恐竜なら友達になってくれるって信じてる【ホロライブ/アキロゼ】
UCCzUftO8KOVkV4wQG1vkUvg,Marine Ch. 宝鐘マリン,PyamiyTVKAA,2020-01-29T13:59:52.003Z,2020-01-29T16:08:27.000Z,【ARK】ホロ鯖あくあマリンてぇてぇ大冒険💘（のはずだった）【湊あくあ/宝鐘マリン視点】
UC1opHUrw8rvnsadT-iGp7Cg,Aqua Ch. 湊あくあ,rFez_j_JnWI,2020-01-29T13:59:52.795Z,2020-01-29T16:07:20.000Z,【ARK】何も知らないくそざこ２人組がホロ鯖に旋風を巻き起こすのだ！【宝鐘マリン/湊あくあ視点】
UCdn5BQ06XqgXoAxIhbqw5Rg,フブキCh。白上フブキ,c4iNCmXk8ko,2020-01-30T07:58:26.135Z,2020-01-30T10:06:42.000Z,【Ark: Survival Evolved】爆誕キャサリンママと狐のARK
UCXTpFs_3PqI41qX2d9tL2Rw,Shion Ch. 紫咲シオン,Y_j2C4YuzkI,2020-01-30T11:01:22.307Z,2020-01-30T13:09:06.000Z,【ARK】これがサバイバルの世界！！お家作って生き残りたい。【ホロライブ/紫咲シオン】
UCZlDXzGoo7d44bwdNObFacg,Kanata Ch. 天音かなた,9YLK8EGGpTE,2020-01-30T12:00:28.677Z,2020-01-30T13:52:40.000Z,【桐生ココ＆天音かなた】原始人に、俺はなる！！！！！！【ホロライブ4期生】
